32-64 bit

 0:  00.32 
42:  11.63 | 12.62 | 13.61 | 14.60 | 15.59 | 16.58 | 17.57 | 18.56 | 19.55 | 20.54 | 21.53 | 22.52 | 23.51 | 24.50 | 25.49 | 26.48 | 27.47 | 28.46 | 29.45 | 30.44 | 31.43 
43:  12.63 | 13.62 | 14.61 | 15.60 | 16.59 | 17.58 | 18.57 | 19.56 | 20.55 | 21.54 | 22.53 | 23.52 | 24.51 | 25.50 | 26.49 | 27.48 | 28.47 | 29.46 | 30.45 | 31.44 
44:  13.63 | 14.62 | 15.61 | 16.60 | 17.59 | 18.58 | 19.57 | 20.56 | 21.55 | 22.54 | 23.53 | 24.52 | 25.51 | 26.50 | 27.49 | 28.48 | 29.47 | 30.46 | 31.45 
45:  14.63 | 15.62 | 16.61 | 17.60 | 18.59 | 19.58 | 20.57 | 21.56 | 22.55 | 23.54 | 24.53 | 25.52 | 26.51 | 27.50 | 28.49 | 29.48 | 30.47 | 31.46 
46:  15.63 | 16.62 | 17.61 | 18.60 | 19.59 | 20.58 | 21.57 | 22.56 | 23.55 | 24.54 | 25.53 | 26.52 | 27.51 | 28.50 | 29.49 | 30.48 | 31.47 
47:  16.63 | 17.62 | 18.61 | 19.60 | 20.59 | 21.58 | 22.57 | 23.56 | 24.55 | 25.54 | 26.53 | 27.52 | 28.51 | 29.50 | 30.49 | 31.48 
48:  17.63 | 18.62 | 19.61 | 20.60 | 21.59 | 22.58 | 23.57 | 24.56 | 25.55 | 26.54 | 27.53 | 28.52 | 29.51 | 30.50 | 31.49 
49:  18.63 | 19.62 | 20.61 | 21.60 | 22.59 | 23.58 | 24.57 | 25.56 | 26.55 | 27.54 | 28.53 | 29.52 | 30.51 | 31.50 
50:  19.63 | 20.62 | 21.61 | 22.60 | 23.59 | 24.58 | 25.57 | 26.56 | 27.55 | 28.54 | 29.53 | 30.52 | 31.51 
51:  20.63 | 21.62 | 22.61 | 23.60 | 24.59 | 25.58 | 26.57 | 27.56 | 28.55 | 29.54 | 30.53 | 31.52 
52:  21.63 | 22.62 | 23.61 | 24.60 | 25.59 | 26.58 | 27.57 | 28.56 | 29.55 | 30.54 | 31.53 
53:  22.63 | 23.62 | 24.61 | 25.60 | 26.59 | 27.58 | 28.57 | 29.56 | 30.55 | 31.54 
54:  23.63 | 24.62 | 25.61 | 26.60 | 27.59 | 28.58 | 29.57 | 30.56 | 31.55 
55:  24.63 | 25.62 | 26.61 | 27.60 | 28.59 | 29.58 | 30.57 | 31.56 
56:  25.63 | 26.62 | 27.61 | 28.60 | 29.59 | 30.58 | 31.57 
57:  26.63 | 27.62 | 28.61 | 29.60 | 30.59 | 31.58 
58:  27.63 | 28.62 | 29.61 | 30.60 | 31.59 
59:  28.63 | 29.62 | 30.61 | 31.60 
60:  29.63 | 30.62 | 31.61 
61:  30.63 | 31.62 
62:  31.63 
63:
